2026/01/16 14:51:31 [error] 33974#33974: *9080 connect() failed (111: Connection refused) while connecting to upstream, client: 172.69.76.156, server: mscinemas.billvoize.in, request: "GET /api/proxy?endpoint=%2FMovieDetails%2FGetMovies HTTP/1.1", upstream: "http://127.0.0.1:3000/api/proxy?endpoint=%2FMovieDetails%2FGetMovies", host: "mscinemas.billvoize.in", referrer: "https://mscinemas.billvoize.in/ticket-type?cinemaId=Wl9GWA&showId=Xl5CWVI&movieId=W11G&showTime=2025-12-09%2020%3A30%3A00&showDate=2025-12-09&experienceType=2D"
2026/01/16 14:51:33 [error] 33974#33974: *9083 upstream prematurely closed connection while reading response header from upstream, client: 172.69.76.156, server: mscinemas.billvoize.in, request: "GET /api/proxy?endpoint=%2FShowDetails%2FGetShowTimes%2F7001 HTTP/1.1", upstream: "http://127.0.0.1:3000/api/proxy?endpoint=%2FShowDetails%2FGetShowTimes%2F7001", host: "mscinemas.billvoize.in", referrer: "https://mscinemas.billvoize.in/ticket-type?cinemaId=Wl9GWA&showId=Xl5CWVI&movieId=W11G&showTime=2025-12-09%2020%3A30%3A00&showDate=2025-12-09&experienceType=2D"
2026/01/16 14:51:33 [error] 33974#33974: *9083 connect() failed (111: Connection refused) while connecting to upstream, client: 172.69.76.156, server: mscinemas.billvoize.in, request: "GET /api/proxy?endpoint=%2FShowDetails%2FGetShowTimes%2F7001 HTTP/1.1", upstream: "http://127.0.0.1:3000/api/proxy?endpoint=%2FShowDetails%2FGetShowTimes%2F7001", host: "mscinemas.billvoize.in", referrer: "https://mscinemas.billvoize.in/ticket-type?cinemaId=Wl9GWA&showId=Xl5CWVI&movieId=W11G&showTime=2025-12-09%2020%3A30%3A00&showDate=2025-12-09&experienceType=2D"
2026/01/16 14:51:33 [error] 33974#33974: *9080 connect() failed (111: Connection refused) while connecting to upstream, client: 172.69.76.156, server: mscinemas.billvoize.in, request: "GET /api/proxy?endpoint=%2FMovieDetails%2FGetMovies HTTP/1.1", upstream: "http://127.0.0.1:3000/api/proxy?endpoint=%2FMovieDetails%2FGetMovies", host: "mscinemas.billvoize.in", referrer: "https://mscinemas.billvoize.in/ticket-type?cinemaId=Wl9GWA&showId=Xl5CWVI&movieId=W11G&showTime=2025-12-09%2020%3A30%3A00&showDate=2025-12-09&experienceType=2D"
2026/01/16 14:51:34 [error] 33974#33974: *9089 connect() failed (111: Connection refused) while connecting to upstream, client: 172.69.76.154, server: mscinemas.billvoize.in, request: "GET /img/banner.jpg HTTP/1.1", upstream: "http://127.0.0.1:3000/img/banner.jpg", host: "mscinemas.billvoize.in", referrer: "https://mscinemas.billvoize.in/ticket-type?cinemaId=Wl9GWA&showId=Xl5CWVI&movieId=W11G&showTime=2025-12-09%2020%3A30%3A00&showDate=2025-12-09&experienceType=2D"
2026/01/16 14:51:34 [error] 33974#33974: *9089 connect() failed (111: Connection refused) while connecting to upstream, client: 172.69.76.154, server: mscinemas.billvoize.in, request: "GET /img/banner.jpg HTTP/1.1", upstream: "http://127.0.0.1:3000/img/banner.jpg", host: "mscinemas.billvoize.in", referrer: "https://mscinemas.billvoize.in/ticket-type?cinemaId=Wl9GWA&showId=Xl5CWVI&movieId=W11G&showTime=2025-12-09%2020%3A30%3A00&showDate=2025-12-09&experienceType=2D"
2026/01/16 16:42:13 [error] 33976#33976: *9647 connect() failed (111: Connection refused) while connecting to upstream, client: 172.69.76.156, server: mscinemas.billvoize.in, request: "GET /movie-detail?movieId=W1lC&_rsc=vusbg HTTP/1.1", upstream: "http://127.0.0.1:3000/movie-detail?movieId=W1lC&_rsc=vusbg", host: "mscinemas.billvoize.in", referrer: "https://mscinemas.billvoize.in/"
2026/01/16 16:42:13 [error] 33976#33976: *9647 connect() failed (111: Connection refused) while connecting to upstream, client: 172.69.76.156, server: mscinemas.billvoize.in, request: "GET /movie-detail?movieId=W1lC HTTP/1.1", upstream: "http://127.0.0.1:3000/movie-detail?movieId=W1lC", host: "mscinemas.billvoize.in", referrer: "https://mscinemas.billvoize.in/"
2026/01/16 16:42:13 [error] 33977#33977: *9599 connect() failed (111: Connection refused) while connecting to upstream, client: 172.69.123.209, server: mscinemas.billvoize.in, request: "GET /api/proxy?endpoint=%2FWebSettings%2FGetMaintenanceModeAndAppVersion%2F1 HTTP/1.1", upstream: "http://127.0.0.1:3000/api/proxy?endpoint=%2FWebSettings%2FGetMaintenanceModeAndAppVersion%2F1", host: "mscinemas.billvoize.in", referrer: "https://mscinemas.billvoize.in/admin/dashboard"
2026/01/16 16:42:13 [error] 33977#33977: *9595 connect() failed (111: Connection refused) while connecting to upstream, client: 172.69.123.209, server: mscinemas.billvoize.in, request: "GET /admin/profile?_rsc=1r66z HTTP/1.1", upstream: "http://127.0.0.1:3000/admin/profile?_rsc=1r66z", host: "mscinemas.billvoize.in", referrer: "https://mscinemas.billvoize.in/admin/dashboard"
